;sem_1;sem_2;int_jan;int_feb;int_jun;int_jul;int_no;int_dec
0;ACCT1006;ACCT1006;ANHS2606;AMSI4001;AVBS2011;ANHS3998;AVBS2011;AVBS2011
1;ACCT2011;ACCT2011;AVBS2011;ANHS3998;AVBS2012;ANTH3998;AVBS2012;AVBS2012
2;ACCT2019;ACCT2019;AVBS2012;ANTH3998;AVBS2013;ARBC3998;AVBS2013;AVBS2013
3;ACCT3011;ACCT3011;AVBS2013;ARBC3998;AVBS2014;ARCO3404;AVBS2014;AVBS2014
4;ACCT3013;ACCT3015;AVBS2014;ARCO3998;HPSC1000;ARCO3998;HSBH3008;CHNS2650
5;ACCT3016;ACCT3031;BIOL3055;ARHT3998;HSBH3012;ARHT3998;OLES2137;CHNS2651
6;ACCT3020;AERO2703;CHEM1111;ASNS3998;OLES2139;ASNS2669;OLES2139;CHNS2652
7;AERO9760;AERO8200;CHEM1112;AVBS2011;OLES2143;ASNS3998;OLES2147;CHNS2653
8;AFNR3001;AERO8750;GEOS1003;AVBS2012;OLES2149;AVBS2011;OLES2153;CHNS3660
9;AFNR4101;AFNR4001;MATH1002;AVBS2013;OLET5610;AVBS2012;OLET1656;CHNS3661
10;AFNR4102;AFNR4101;MATH1005;AVBS2014;OLET5704;AVBS2013;OLET2606;CHNS3662
11;AFNR5502;AFNR4102;MATH1011;BBCL3998;PSYC4108;AVBS2014;PUBH5215;CHNS3663
12;AFNR5511;AFNR5801;MATH1013;BIOL3010;PUBH5215;BBCL3998;;DATA5207
13;AGRI2001;AGRI3888;MATH1014;BIOL3910;;BIOL3008;;EDUF3038
14;AGRI4001;AGRI4103;MATH1021;BUSS1020;;BIOL3016;;FRNC1601
15;AGRI4103;AGRI4104;MATH1023;BUSS4903;;BIOL3908;;HSBH3012
16;AGRI4104;AGRI4105;MATH1115;BUSS4905;;BIOL3916;;IBUS3106
17;AGRI4105;AGRI4106;OLES2129;CAEL3998;;BUSS4905;;JPNS1611
18;AGRI4106;AGRO4006;OLET1115;CEPI5100;;CAEL2039;;KRNS1621
19;AMAT4103;AMAT4103;PSYC1001;CHNS3998;;CAEL2042;;OLES2143
20;AMAT4104;AMAT4104;PSYC1002;CIVL1110;;CAEL3998;;OLES2145
21;AMAT4105;AMAT4105;;CRIM3998;;CEPI5100;;OLES2151
22;AMAT4106;AMAT4106;;ECMT1010;;CHNS1101;;OLET1208
23;AMED3001;AMED3003;;ECON1001;;CHNS2650;;PRFM1602
24;AMED3002;AMED3888;;ECON1002;;CHNS2651;;WRIT1002
25;AMED3901;AMED3903;;ECON3998;;CHNS2652;;
26;AMED4103;AMED4001;;ECON5001;;CHNS2653;;
27;AMED4104;AMED4103;;ECON5002;;CHNS3000;;
28;AMED4105;AMED4104;;ECOP3021;;CHNS3660;;
29;AMED4106;AMED4105;;ECOP3998;;CHNS3661;;
30;AMED4107;AMED4106;;ECOS2001;;CHNS3662;;
31;AMED4108;AMED4107;;ECOS2002;;CHNS3663;;
32;AMME2000;AMED4108;;ECOS3005;;CHNS3998;;
33;AMME2261;AMME1362;;ENGG1810;;CIVL1802;;
34;AMME2450;AMME1802;;ENGG1865;;CRIM3998;;
35;AMME2500;AMME2200;;ENGL3998;;ECON3998;;
36;AMME2700;AMME2262;;EUST3998;;ECOP3998;;
37;AMME4111;AMME2301;;FASS4901;;EDUF3038;;
38;AMME4112;AMME4111;;FILM3998;;EDUF3135;;
39;AMME5292;AMME4112;;FINC2011;;ENGL3998;;
40;AMME5310;AMME5060;;FRNC3998;;EUST3998;;
41;AMME8101;AMME5271;;GCST1601;;FASS4901;;
42;AMME8202;AMME8510;;GCST1603;;FILM3998;;
43;AMME8520;AMST1001;;GCST2607;;FOOD4001;;
44;AMME9450;AMST2606;;GCST2631;;FRNC1601;;
45;AMST1202;AMST3601;;GCST3998;;FRNC3998;;
46;AMST2701;ANAT2009;;GEOS3053;;GCST1602;;
